time,modified,id,user,favorite_rank_action,favorite_added,favorite_removed,campus_code,institution_code,table_source,data_source,event
2025-07-08 20:43:27.468522+00:00,2025-07-08 20:43:27.468523+00:00,47013,5c678dac-e04b-446b-848a-ebd82c855076,DOWN,True,False,311001096953,,institutions_favorite_campus_history,postgresql,favorite_school_from_listFavorites
2025-07-08 20:43:24.613453+00:00,2025-07-08 20:43:24.613455+00:00,47012,5c678dac-e04b-446b-848a-ebd82c855076,DOWN,True,False,11001_JP_299,,institutions_favorite_campus_history,postgresql,favorite_school_from_listFavorites
2025-07-08 20:43:20.598534+00:00,2025-07-08 20:43:20.598537+00:00,47011,5c678dac-e04b-446b-848a-ebd82c855076,DOWN,True,False,1100100135694,,institutions_favorite_campus_history,postgresql,favorite_school_from_listFavorites
2025-07-08 20:42:02.577133+00:00,2025-07-08 20:42:02.577135+00:00,47010,5c678dac-e04b-446b-848a-ebd82c855076,DOWN,True,False,110011126001,,institutions_favorite_campus_history,postgresql,favorite_school_from_listFavorites
2025-07-08 20:41:52.744653+00:00,2025-07-08 20:41:52.744655+00:00,47009,5c678dac-e04b-446b-848a-ebd82c855076,DOWN,True,False,110011120961,,institutions_favorite_campus_history,postgresql,favorite_school_from_listFavorites
2025-07-08 20:40:14.920260+00:00,2025-07-08 20:40:14.920261+00:00,47008,060ddb14-6c67-4fd6-9147-bc3122ee89a3,DOWN,True,False,1100100016571,,institutions_favorite_campus_history,postgresql,favorite_school_from_listFavorites
2025-07-08 20:39:54.204119+00:00,2025-07-08 20:39:54.204121+00:00,47007,5c678dac-e04b-446b-848a-ebd82c855076,DOWN,True,False,1100100137737,,institutions_favorite_campus_history,postgresql,favorite_school_from_listFavorites
2025-07-08 20:39:48.557187+00:00,2025-07-08 20:39:48.557188+00:00,47006,5c678dac-e04b-446b-848a-ebd82c855076,DOWN,True,False,110011111607,,institutions_favorite_campus_history,postgresql,favorite_school_from_listFavorites
2025-07-08 20:33:08.654430+00:00,2025-07-08 20:33:08.654432+00:00,47005,5c678dac-e04b-446b-848a-ebd82c855076,DOWN,True,False,111001104337,,institutions_favorite_campus_history,postgresql,favorite_school_from_listFavorites
2025-07-08 20:33:06.606971+00:00,2025-07-08 20:33:06.606972+00:00,47004,5c678dac-e04b-446b-848a-ebd82c855076,DOWN,True,False,110011115487,,institutions_favorite_campus_history,postgresql,favorite_school_from_listFavorites
2025-07-08 20:20:24.852834+00:00,2025-07-08 20:20:24.852836+00:00,47003,5c678dac-e04b-446b-848a-ebd82c855076,DOWN,True,False,110011126495,,institutions_favorite_campus_history,postgresql,favorite_school_from_listFavorites
2025-07-08 20:20:21.326949+00:00,2025-07-08 20:20:21.326951+00:00,47002,5c678dac-e04b-446b-848a-ebd82c855076,DOWN,True,False,110011120950,,institutions_favorite_campus_history,postgresql,favorite_school_from_listFavorites
2025-07-08 20:20:16.350166+00:00,2025-07-08 20:20:16.350169+00:00,47001,5c678dac-e04b-446b-848a-ebd82c855076,DOWN,True,False,11001_JP_323,,institutions_favorite_campus_history,postgresql,favorite_school_from_listFavorites
2025-07-08 20:20:06.952090+00:00,2025-07-08 20:20:06.952093+00:00,47000,5c678dac-e04b-446b-848a-ebd82c855076,DOWN,True,False,211001094875,,institutions_favorite_campus_history,postgresql,favorite_school_from_listFavorites
2025-07-08 20:18:33.786820+00:00,2025-07-08 20:18:33.786822+00:00,46999,5c678dac-e04b-446b-848a-ebd82c855076,DOWN,True,False,110011111609,,institutions_favorite_campus_history,postgresql,favorite_school_from_listFavorites
2025-07-08 20:04:05.632956+00:00,2025-07-08 20:04:05.632958+00:00,46998,5c678dac-e04b-446b-848a-ebd82c855076,DOWN,True,False,11001_JP_392,,institutions_favorite_campus_history,postgresql,favorite_school_from_listFavorites
2025-07-08 20:04:02.044241+00:00,2025-07-08 20:04:02.044244+00:00,46997,5c678dac-e04b-446b-848a-ebd82c855076,DOWN,True,False,411001086561,,institutions_favorite_campus_history,postgresql,favorite_school_from_listFavorites
2025-07-08 20:03:58.547009+00:00,2025-07-08 20:03:58.547010+00:00,46996,5c678dac-e04b-446b-848a-ebd82c855076,DOWN,True,False,110011111620,,institutions_favorite_campus_history,postgresql,favorite_school_from_listFavorites
2025-07-08 20:01:03.330781+00:00,2025-07-08 20:01:03.330782+00:00,46995,5c678dac-e04b-446b-848a-ebd82c855076,DOWN,True,False,110011150702,,institutions_favorite_campus_history,postgresql,favorite_school_from_listFavorites
2025-07-08 20:00:54.175263+00:00,2025-07-08 20:00:54.175267+00:00,46994,5c678dac-e04b-446b-848a-ebd82c855076,DOWN,True,False,11001_JP_167,,institutions_favorite_campus_history,postgresql,favorite_school_from_listFavorites
2025-07-08 19:58:47.700840+00:00,2025-07-08 19:58:47.700842+00:00,46993,e9700a84-ec45-4398-ace2-de0359c87166,DOWN,True,False,111850000081,,institutions_favorite_campus_history,postgresql,favorite_school_from_listFavorites
2025-07-08 19:57:48.285123+00:00,2025-07-08 19:57:48.285126+00:00,46992,5c678dac-e04b-446b-848a-ebd82c855076,DOWN,True,False,1100100015915,,institutions_favorite_campus_history,postgresql,favorite_school_from_listFavorites
2025-07-08 19:57:45.056142+00:00,2025-07-08 19:57:45.056146+00:00,46991,5c678dac-e04b-446b-848a-ebd82c855076,DOWN,True,False,1100100135949,,institutions_favorite_campus_history,postgresql,favorite_school_from_listFavorites
2025-07-08 19:52:11.612326+00:00,2025-07-08 19:52:11.612328+00:00,46990,060ddb14-6c67-4fd6-9147-bc3122ee89a3,DOWN,True,False,111001012521,,institutions_favorite_campus_history,postgresql,favorite_school_from_listFavorites
2025-07-08 19:41:15.812963+00:00,2025-07-08 19:41:15.812965+00:00,46989,060ddb14-6c67-4fd6-9147-bc3122ee89a3,DOWN,True,False,311001034559,,institutions_favorite_campus_history,postgresql,favorite_school_from_listFavorites
2025-07-08 19:29:53.644147+00:00,2025-07-08 19:29:53.644149+00:00,46988,e9700a84-ec45-4398-ace2-de0359c87166,,False,True,111850000081,,institutions_favorite_campus_history,postgresql,favorite_school_from_listFavorites
